ACT,AGE,AGO,ANC,C,CEN,CIV,CLS,CRS,CU,DG,DLG,EN,FR,GOV,ID,MRQ,NFC,PLA,PSS,RISKY,SX,TV,USG,VN,VV
PROFESSIONS_MEDICALES,3,4,5,T,111,Mr,5,CI-4P,1,SAHEL,Zeramdine,DI,0,Monastir,245683,VOLKSWAGEN,5,2,3,No,M,3C,VP,2,2
EDUCATION_FORMATION,3,3,1,T,109,Mme,8,CI-4P,1,CAPBON,Menzel Temime,ES,0,Nabeul,1073083,VOLKSWAGEN,5,2,3,No,F,AU,VP,5,5
EMPLOYE,3,3,2,T,807,Mr,8,CI-4P,1,SAHEL,Monastir,ES,1,Monastir,417683,FIAT,2,2,2,No,M,199BXA1A01E,VP,2,2
RETRAITE,5,4,2,T,192,Mr,4,BREAK,1,SUD,Midoun,ES,0,Medenine,1010083,NISSAN,5,2,6,No,M,S50,VP,4,4
EDUCATION_FORMATION,5,2,5,T,142,Mme,1,CI-4P,1,NORD OUEST,Beja Nord,ES,0,Beja,198883,KIA,5,2,2,No,F,G6S6K2615,VP,3,3
PROFESSIONS_MEDICALES,2,3,1,P,121,Mr,3,CI-2P,2,SUD,El Mdhilla,DI,0,Gafsa,1025483,ISUZU,5,2,6,Yes,M,KP34H0,u1,2,2
TECHNICIEN,2,3,2,T,126,Mr,1,CI-4P,1,NORD OUEST,Jendouba Nord,ES,1,Jendouba,897483,VOLKSWAGEN,2,2,3,No,M,AU,VP,4,4
EDUCATION_FORMATION,3,2,2,T,119,Mme,9,CI-4P,1,TUNIS SUD,Rades,ES,1,Ben Arous,881083,NISSAN,2,2,3,No,F,FBUK13,VP,3,3
RETRAITE,5,3,5,T,113,Mme,1,CI-4P,1,TUNIS CENTRE,Mohamadia,ES,1,Ben Arous,249883,FIAT,2,2,2,Yes,F,199BXA1A01E,VP,3,3
ARTISAN,3,5,3,T,109,Mr,3,CI-4P,1,CAPBON,Dar Chaabane Elfehri,ES,1,Nabeul,639283,PEUGEOT,2,2,2,No,M,20AH32,VP,1,1
CORPS_ACTIFS,3,2,1,T,181,Mr,3,CI-4P,1,SAHEL,Sfax Ville,ES,0,Sfax,1085483,RENAULT,5,2,3,No,M,2RRJR5,VP,5,5
RETRAITE,4,5,2,T,103,Mr,8,CI-4P,1,SAHEL,Sousse Ville,DI,1,Sousse,351683,RENAULT,2,2,2,No,M,BBR7CF,VP,2,2
EDUCATION_FORMATION,4,5,5,T,101,Mme,4,CI-4P,1,TUNIS CENTRE,El Kabbaria,ES,0,Tunis,191883,RENAULT,5,2,3,No,F,BBOFBF,VP,2,2
EMPLOYE,3,2,2,T,125,Mr,8,CI-4P,1,CAPBON,Kelibia,ES,1,Nabeul,867683,FIAT,2,2,2,No,M,199BXA1A01E,VP,3,3
